epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1621.66,2.14106,3.62056,2.41715,0.00224,0.17147,0.00249,0.00067,3.03989,4.79802,3.68605,0.00643101,0.00643101,0.00643101
43,1660.35,2.12986,3.5924,2.4181,0.00189,0.16778,0.00223,0.00059,3.06354,4.8259,3.71614,0.00628101,0.00628101,0.00628101
44,1699.29,2.12683,3.58015,2.40564,0.01611,0.07603,0.00265,0.00077,3.04757,4.83355,3.70364,0.00612981,0.00612981,0.00612981
45,1737.92,2.12659,3.59141,2.41016,0.00189,0.15912,0.002,0.00055,3.08999,4.81829,3.72893,0.00597754,0.00597754,0.00597754
46,1776.52,2.13067,3.59531,2.40901,0.50762,0.00587,0.00253,0.00064,3.02063,4.85864,3.70085,0.00582435,0.00582435,0.00582435
47,1815.19,2.13485,3.58317,2.41094,0.00222,0.16755,0.00248,0.00089,2.99908,4.80144,3.62941,0.0056704,0.0056704,0.0056704
48,1853.85,2.12915,3.59015,2.3985,0.50623,0.00545,0.00284,0.00078,3.00589,4.78791,3.66947,0.00551584,0.00551584,0.00551584
49,1892.76,2.13373,3.57916,2.40376,0.50672,0.00629,0.00411,0.00082,3.0445,4.75934,3.71288,0.00536081,0.00536081,0.00536081
50,1931.8,2.13573,3.59081,2.40455,0.50903,0.00545,0.00285,0.00065,3.03376,4.79375,3.71964,0.00520548,0.00520548,0.00520548
51,1970.92,2.11347,3.57665,2.40076,0.50913,0.00545,0.00282,0.00074,3.04199,4.83195,3.73934,0.00505,0.00505,0.00505
52,2009.55,2.10738,3.58409,2.39499,0.5033,0.00336,0.00255,0.00082,3.01604,4.78143,3.71814,0.00489452,0.00489452,0.00489452
53,2048.43,2.12479,3.59386,2.40532,0.50739,0.00419,0.00286,0.00069,3.02704,4.73603,3.69756,0.00473919,0.00473919,0.00473919
54,2087.57,2.12367,3.58122,2.39509,0.51152,0.00587,0.00325,0.00082,3.042,4.81084,3.71085,0.00458416,0.00458416,0.00458416
55,2126.41,2.11285,3.59205,2.39105,0.50753,0.00545,0.00287,0.00072,3.0266,4.79414,3.706,0.0044296,0.0044296,0.0044296
56,2165.42,2.11075,3.56614,2.39112,0.50428,0.01049,0.00333,0.00092,3.02098,4.84821,3.72941,0.00427565,0.00427565,0.00427565
57,2204.34,2.11212,3.59211,2.39345,0.25235,0.013,0.0025,0.00067,3.04007,4.81574,3.68487,0.00412246,0.00412246,0.00412246
58,2243.55,2.1076,3.58245,2.39401,0.50585,0.00587,0.00313,0.00086,3.04725,4.7383,3.73676,0.00397019,0.00397019,0.00397019
59,2282.36,2.11668,3.5653,2.39295,0.50877,0.00545,0.00458,0.00118,2.99984,4.76976,3.67549,0.00381899,0.00381899,0.00381899
60,2321.57,2.09598,3.5545,2.37001,0.50975,0.00503,0.00315,0.00089,3.02097,4.77984,3.65965,0.00366899,0.00366899,0.00366899
