timestamp,type,track_id,zone_name,centroid_x,centroid_y
1767606820.1332746,RUN,1,,1683.6907,717.41626
1767606820.2391815,RUN,1,,1684.7994,721.5723
1767606820.2391815,RUN,2,,824.03,642.2016
1767606820.3486125,RUN,1,,1679.4648,737.0053
1767606820.3486125,RUN,2,,943.9071,632.12085
1767606820.4608846,RUN,1,,1650.2949,720.3152
1767606820.4608846,RUN,2,,949.9349,622.7214
1767606820.4608846,RUN,3,,1108.5673,786.04285
1767606820.5754595,RUN,1,,1706.043,714.4974
1767606820.5754595,RUN,2,,949.9349,622.7214
1767606820.5754595,RUN,3,,1223.8754,812.81366
1767606820.66446,RUN,1,,1706.043,714.4974
1767606820.66446,RUN,2,,949.9349,622.7214
1767606820.66446,RUN,3,,1118.8258,797.0508
1767606820.7576847,RUN,1,,1694.2284,784.7557
1767606820.7576847,RUN,2,,949.9349,622.7214
1767606820.7576847,RUN,3,,1210.8921,808.4317
1767606820.7576847,RUN,4,,1061.354,594.8857
1767606820.868785,RUN,1,,1683.8899,848.91235
1767606820.868785,RUN,3,,1210.8921,808.4317
1767606820.868785,RUN,4,,1061.354,594.8857
1767606820.868783,VIOLENCE,-1,89.7%,1366.0,720.0
1767606820.9673102,RUN,1,,1708.788,849.24475
1767606820.9673102,RUN,3,,1210.8921,808.4317
1767606820.9673102,RUN,4,,1061.354,594.8857
1767606821.0524335,RUN,1,,1791.0587,725.52954
1767606821.0524335,RUN,3,,1036.3099,846.4218
1767606821.0524335,RUN,4,,1061.354,594.8857
1767606821.1505103,RUN,1,,1793.639,779.1216
1767606821.1505103,RUN,3,,1029.9443,863.2212
1767606821.1505103,RUN,4,,1061.354,594.8857
1767606821.1505086,VIOLENCE,-1,97.0%,1366.0,720.0
1767606821.277203,RUN,1,,1793.639,779.1216
1767606821.277203,RUN,3,,1007.10785,875.38995
1767606821.277203,RUN,6,,861.48706,976.88025
1767606821.2772017,VIOLENCE,-1,89.7%,1366.0,720.0
1767606821.3697255,RUN,1,,1769.3809,879.23926
1767606821.3697255,RUN,3,,1072.5912,894.9474
1767606821.3697255,RUN,6,,844.2462,996.0773
1767606821.3697238,VIOLENCE,-1,98.0%,1366.0,720.0
1767606821.4611502,RUN,1,,1758.7535,720.9747
1767606821.4611502,RUN,3,,1017.235,919.98065
1767606821.4611502,RUN,6,,844.2462,996.0773
1767606821.5635679,RUN,1,,1720.0219,731.67096
1767606821.5635679,RUN,3,,1092.3126,916.979
1767606821.5635679,RUN,5,,2238.1687,954.7241
1767606821.5635679,RUN,6,,844.2462,996.0773
1767606821.6634378,RUN,1,,1761.5701,718.68555
1767606821.6634378,RUN,3,,1007.7526,912.46094
